rank	head	essay_frequency	direct_syn_tails
591	第時	7385	0
592	時尚	7376	1
593	轉載	7376	1
594	心痛	7296	1
595	旺角	7296	0
596	晏晝	7296	0
597	本能	7296	0
598	淫賤	7296	0
599	講乜	7296	0
600	雞仔	7296	0
601	一口	7207	0
602	中出	7207	0
603	殺氣	7207	1
604	毫子	7207	0
605	汽水	7207	0
606	能量	7207	1
607	噶	7132	0
608	下下	7118	0
609	中年	7118	1
610	細細個	7118	0
611	語言	7118	1
612	鍊	7118	0
613	侏	7029	0
614	尿片	7029	0
615	行行	7029	0
616	記起	7029	0
617	利是	6940	0
618	平安夜	6940	0
619	胸圍	6940	0
620	金毛	6940	0
621	鈕	6940	0
622	電單車	6940	0
623	先得	6851	0
624	契媽	6851	0
625	廣東話	6851	0
626	李	6851	0
627	貼紙	6851	0
628	重有	6851	0
629	鼻哥	6851	0
630	怎麼辦	6839	1
631	快遞	6768	1
632	一次過	6763	0
633	乜鬼	6763	0
634	仲話	6763	0
635	打嚟	6763	0
636	搞錯	6763	0
637	教畜	6763	0
638	有份	6763	0
639	餸	6763	0
640	半身	6674	0
641	死仔	6674	0
642	銅	6674	1
643	餅乾	6674	0
644	成世	6585	0
645	第二次	6585	0
646	食得	6585	0
647	鬍	6585	0
648	當堂	6496	0
649	鐵閘	6496	0
650	工作人員	6440	0
651	空調	6435	0
652	呢邊	6407	0
653	嚇親	6407	0
654	性奴	6407	0
655	想問	6407	0
656	第二朝	6407	0
657	看起來	6351	1
658	下集	6318	0
659	地標	6318	1
660	失落	6318	0
661	好易	6318	0
662	尋日	6318	0
663	卻是	6256	0
664	大件事	6229	0
665	如是	6229	0
666	山窿	6229	0
667	黐線	6229	0
668	點講	6229	0
669	個鐘	6140	0
670	嗰日	6140	0
671	外套	6140	1
672	小巴	6140	0
673	急急腳	6140	0
674	眼角	6140	1
675	淘寶	6135	0
676	授權	6052	0
677	世伯	6051	0
678	人話	6051	0
679	侯	6051	1
680	女友	6051	1
681	她們	6051	1
682	收皮	6051	0
683	玩家	6051	0
684	脾	6051	1
685	重覆	6051	0
686	函數	5992	1
687	成員	5962	1
688	眼色	5962	1
689	硬係	5962	0
690	電子	5962	1
691	食煙	5962	0
692	發票	5937	0
693	挺好	5911	0
694	一來	5873	0
695	不敢	5873	0
696	危機	5873	1
697	拜託	5873	1
698	有排	5873	0
699	老土	5873	0
700	膠袋	5873	0
701	蕃	5873	0
702	身高	5873	0
703	陽具	5873	0
704	頂唔順	5873	0
705	主板	5861	0
706	多少錢	5852	0
707	顯卡	5819	0
708	側邊	5784	0
709	六點	5784	0
710	升降機	5784	1
711	子彈	5784	1
712	幾大	5784	0
713	這些	5784	1
714	一句話	5761	0
715	敏	5695	0
716	神經	5695	0
717	茄	5695	0
718	褲袋	5695	0
719	一於	5606	0
720	乜事	5606	0
721	唔只	5606	0
722	廿	5606	1
723	打交	5606	0
724	挑戰	5606	1
725	缸	5606	0
726	芝士	5606	0
727	記者	5606	0
728	錯愕	5606	0
729	首頁	5556	0
730	九點	5517	0
731	噠	5517	0
732	回家	5517	1
733	想要	5517	0
734	成晚	5517	0
735	捲	5517	0
736	骨頭	5517	1
737	職工	5483	1
738	一會	5428	0
739	全場	5428	0
740	八點	5428	0
741	太好	5428	0
742	正話	5428	0
743	留言	5428	0
744	睇醫生	5428	0
745	踢波	5428	0
746	阿公	5428	0
747	大鑊	5339	0
748	天花板	5339	1
749	廢事	5339	0
750	日記	5339	0
751	聽朝	5339	0
752	開聲	5339	0
753	朵	5250	1
754	無辜	5250	0
755	識得	5250	0
756	車轆	5250	0
757	版主	5219	0
758	手裏	5185	0
759	鼠標	5168	0
760	三點	5161	0
761	中指	5161	0
762	入邊	5161	0
763	冇計	5161	0
764	嘔心	5161	0
765	嘥	5161	0
766	外賣	5161	0
767	大笨象	5161	0
768	宿舍	5161	1
769	打波	5161	0
770	波鞋	5161	0
771	突破	5161	0
772	讀者	5161	1
773	返來	5161	0
774	運營	5161	1
775	面向	5161	1
776	上市公司	5084	0
777	咁鬼	5072	0
778	員工	5072	1
779	單嘢	5072	0
780	孫仔	5072	0
781	睇法	5072	0
782	窒	5072	0
783	行開	5072	0
784	親手	5072	1
785	醜怪	5072	0
786	鍚	5072	0
787	鏈	5072	1
788	離遠	5072	0
789	七點	4983	0
790	五點	4983	0
791	多位	4983	0
792	夜貓	4983	0
793	幾步	4983	0
794	溝女	4983	0
795	物體	4983	1
796	出便	4894	0
797	劇情	4894	0
798	四點	4894	0
